,train,test,model
0,0.00034567898589410467,0.0005699282968776599,size_lg_seq_model.csv
1,0.00036145495341327545,0.0006190160781660355,size_lg_seq_model.csv
2,0.005917168430812939,0.0090467758309241,size_lg_seq_model.csv
0,0.13263370414957212,0.08222618215307344,fe_flat.csv
1,0.017270577934293083,0.1041186644405652,fe_flat.csv
2,0.1362633251330515,0.10193325561853003,fe_flat.csv
0,0.00034567898589410467,0.0005699282968776599,baseline1.csv
1,0.00034567898589410467,0.0005699282968776599,baseline1.csv
2,0.00034567898589410467,0.0005699282968776599,baseline1.csv
0,0.006543802789908307,0.009211556894872812,size_em_seq_model.csv
1,0.0004106285930749266,0.0005699282968776599,size_em_seq_model.csv
2,0.0036158591564375256,0.015353438986245669,size_em_seq_model.csv
0,0.11551047926324964,0.07332938597634524,size_sm_fixed_vec.csv
1,0.06670425357684055,0.07588990353760534,size_sm_fixed_vec.csv
2,0.028092092565013504,0.024319795363598237,size_sm_fixed_vec.csv
0,0.003413417218861607,0.004454671143388735,size_lg_fixed_vec.csv
1,0.003413417218861607,0.0043090041239234106,size_lg_fixed_vec.csv
2,0.00034567898589410467,0.0005699282968776599,size_lg_fixed_vec.csv
0,0.06881917773475095,0.13921562704072438,fe_avg_pool.csv
1,0.11796767395284125,0.0372360227385519,fe_avg_pool.csv
2,0.07952229323754863,0.17375833565403742,fe_avg_pool.csv
0,0.00036100454138158925,0.0005699282968776599,size_sm_lang_model.csv
1,0.00034567898589410467,0.0006704071523498271,size_sm_lang_model.csv
2,0.003413417218861607,0.004386410637001682,size_sm_lang_model.csv
0,0.027493530218771312,0.03298666008262102,size_lg_lang_model.csv
1,0.05573525027701993,0.04737889090151627,size_lg_lang_model.csv
2,0.049760191636250665,0.042895430160047474,size_lg_lang_model.csv
0,0.00034567898589410467,0.0005699282968776599,size_sm_seq_model.csv
1,0.00034567898589410467,0.0005699282968776599,size_sm_seq_model.csv
2,0.0032892698380552142,0.0043090041239234106,size_sm_seq_model.csv
