train,test,model
0.002208100790040106,0.0034119067353225985,size_lg_seq_model.csv
0.0953892024056389,0.09609270073738956,fe_flat.csv
0.00034567898589410467,0.0005699282968776599,baseline1.csv
0.00352343017980692,0.008378308059332047,size_em_seq_model.csv
0.07010227513503457,0.05784636162584961,size_sm_fixed_vec.csv
0.0023908378078724393,0.003111201188063269,size_lg_fixed_vec.csv
0.08876971497504693,0.11673666181110458,fe_avg_pool.csv
0.0013733669153791004,0.0018755820287430563,size_sm_lang_model.csv
0.04432965737734731,0.04108699371472826,size_lg_lang_model.csv
0.0013268759366144745,0.0018162869058929102,size_sm_seq_model.csv
